GEOID,FIP_disaster_count,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,average_project,approved_rate,pop_total,pop_white,pop_black,pop_latino,median_income,state,county,total_affected,application_per_thousand,approval_per_thousand,pct_black,pct_white,pct_latino,non_white
40001,27,60.0,49.0,31.0,69903.79,2254.9609677419357,0.5166666666666667,22171,9119,125,1551,21313,40,001,0.598617,0.10023103252998161,0.051786033473823836,0.005637995579811465,0.411303053538406,0.06995624915430067,0.588696946461594
40003,30,37.0,28.0,16.0,57372.55,3585.784375,0.4324324324324324,5791,4906,171,339,23883,40,003,0.17373,0.21297415529845162,0.09209693202095205,0.029528578829217753,0.8471766534277327,0.05853911241581765,0.15282334657226732
40005,27,880.0,779.0,313.0,2067663.32,6605.953099041534,0.3556818181818181,13815,9901,460,509,23526,40,005,0.373005,2.3592177048565035,0.8391308427500973,0.03329714078899747,0.7166847629388347,0.03684401013391241,0.2833152370611654
40007,25,3.0,2.0,2.0,18000.0,9000.0,0.6666666666666666,5326,4177,44,1303,27204,40,007,0.13315,0.022530980097634247,0.015020653398422831,0.008261359369132557,0.7842658655651521,0.24464889222681185,0.21573413443484793
40009,27,225.0,189.0,93.0,626585.51,6737.478602150538,0.4133333333333333,21860,18316,913,3249,23402,40,009,0.59022,0.3812137846904544,0.15756836433872115,0.04176578225068618,0.8378774016468435,0.14862763037511437,0.16212259835315646
40011,32,771.0,688.0,261.0,954312.66,3656.3703448275865,0.3385214007782101,9521,7511,384,1165,26920,40,011,0.304672,2.530590274130869,0.8566589643944964,0.04033189790988342,0.788887721877954,0.12236109652347442,0.211112278122046
40013,25,550.0,468.0,220.0,1167879.02,5308.541,0.4,47325,34608,853,2998,24954,40,013,1.183125,0.4648705758055996,0.1859482303222398,0.018024300052826202,0.731283676703645,0.06334918119387216,0.268716323296355
40015,43,786.0,647.0,351.0,1934162.9,5510.435612535613,0.4465648854961832,29179,18299,710,3906,24870,40,015,1.254697,0.6264460662614162,0.2797488158495637,0.024332567942698516,0.6271290996949861,0.13386339490729635,0.37287090030501385
40017,39,2643.0,2339.0,813.0,3690550.06,4539.421968019679,0.3076049943246311,144610,114675,4519,13688,35460,40,017,5.63979,0.46863447043240974,0.1441543036176879,0.031249567803056495,0.7929949519396999,0.09465458820275223,0.20700504806030012
40019,31,1295.0,1118.0,597.0,4187775.52,7014.699363484087,0.461003861003861,48380,35388,3175,3792,26973,40,019,1.49978,0.8634599741295391,0.39805838189601145,0.0656262918561389,0.7314592806945018,0.07837949565936338,0.26854071930549817
