pop_total,pop_white,pop_black,pop_latino,median_income,state,zip code tabulation area,zipcode
5178,4991,10,193,39464,25,01036,01036
747,721,6,41,40750,25,01037,01037
2734,2631,13,94,42361,25,01038,01038
1207,1133,24,86,44015,25,01039,01039
40241,35218,1826,21704,22250,25,01040,01040
2438,2356,16,20,36658,25,01050,01050
1593,1488,75,42,22159,25,01053,01053
2001,1912,6,25,40291,25,01054,01054
21291,19669,302,1837,35699,25,01056,01056
8824,8528,86,114,36641,25,01057,01057
15948,13832,417,1212,28509,25,01060,01060
10364,9463,114,1190,36130,25,01062,01062
611,453,9,46,3742,25,01063,01063
31,31,0,0,,25,01066,01066
1833,1802,6,38,38258,25,01068,01068
8556,7674,211,445,31400,25,01069,01069
648,607,2,26,34667,25,01070,01070
1318,1233,42,62,39325,25,01071,01071
1478,1328,13,58,39730,25,01072,01072
6144,5875,25,0,44926,25,01073,01073
411,382,0,29,28250,25,01074,01074
17703,15780,315,1135,27684,25,01075,01075
9720,9301,7,339,36317,25,01077,01077
781,781,0,52,31394,25,01079,01079
2709,2337,72,80,31815,25,01080,01080
1883,1846,6,115,35132,25,01081,01081
10580,10153,137,768,33683,25,01082,01082
3094,2962,0,0,26133,25,01083,01083
168,151,0,17,30000,25,01084,01084
41780,38611,666,3946,31057,25,01085,01085
363,328,21,23,3240,25,01086,01086
509,506,0,11,30559,25,01088,01088
28609,24906,916,3030,30795,25,01089,01089
1278,1245,33,62,58226,25,01092,01092
313,313,0,0,39615,25,01093,01093
387,387,0,38,20096,25,01094,01094
14728,13765,462,1416,41312,25,01095,01095
2443,2443,0,27,37925,25,01096,01096
56,49,0,0,27708,25,01097,01097
1263,1243,4,10,44615,25,01098,01098
2332,1216,369,1351,19768,25,01103,01103
23740,16609,2323,13605,21796,25,01104,01104
11841,6814,2796,7801,13593,25,01105,01105
15987,14415,150,1101,53333,25,01106,01106
11562,7529,1372,9285,14163,25,01107,01107
27054,17114,4908,12038,22412,25,01108,01108
30383,15244,11465,12115,16837,25,01109,01109
14830,10150,2618,3555,36456,25,01118,01118
13681,9932,2406,4043,24884,25,01119,01119
2541,2009,246,482,32515,25,01128,01128
6941,5220,1129,1870,35172,25,01129,01129
9032,5577,2646,3135,24319,25,01151,01151
0,0,0,0,,25,01199,01199
44458,38737,1907,2912,30215,25,01201,01201
8179,7872,73,118,33227,25,01220,01220
807,794,0,10,28478,25,01222,01222
2443,2285,51,80,37440,25,01223,01223
125,125,0,0,,25,01224,01224
3105,3040,32,76,40941,25,01225,01225
6769,6601,7,141,34123,25,01226,01226
91,83,0,10,14375,25,01229,01229
8525,7934,222,486,31337,25,01230,01230
2567,2496,4,42,32296,25,01235,01235
1311,1076,71,90,30206,25,01236,01236
2488,2404,54,19,37813,25,01237,01237
5814,5255,114,78,33707,25,01238,01238
4453,4063,159,286,39940,25,01240,01240
471,471,0,0,30789,25,01242,01242
268,248,0,0,29904,25,01243,01243
132,132,0,0,15375,25,01244,01244
836,817,3,7,44130,25,01245,01245
15466,13928,241,894,25719,25,01247,01247
769,753,0,14,46563,25,01253,01253
902,852,9,7,39679,25,01254,01254
891,859,8,19,32401,25,01255,01255
680,604,59,22,33466,25,01256,01256
2017,2017,0,47,36331,25,01257,01257
488,430,0,38,27105,25,01258,01258
540,529,4,3,42938,25,01259,01259
427,427,0,0,51250,25,01260,01260
1005,818,87,38,18594,25,01262,01262
206,191,2,31,32841,25,01264,01264
1295,1176,49,46,32309,25,01266,01266
7753,6348,392,461,17520,25,01267,01267
796,763,0,9,42386,25,01270,01270
17617,15975,391,1336,29648,25,01301,01301
1276,1211,1,39,37096,25,01330,01330
13486,12480,156,660,28611,25,01331,01331
2532,2512,0,9,35188,25,01337,01337
113,96,0,0,26852,25,01338,01338
1371,1306,6,17,28051,25,01339,01339
1779,1752,8,29,31683,25,01340,01340
1929,1905,0,52,46488,25,01341,01341
1259,1001,158,72,27500,25,01342,01342
78,70,0,8,34375,25,01343,01343
1380,1309,24,51,30639,25,01344,01344
471,465,0,2,30476,25,01346,01346
154,154,0,0,41474,25,01347,01347
1391,1273,7,0,32243,25,01349,01349
87,87,0,0,25208,25,01350,01350
2114,2031,43,7,44596,25,01351,01351
1596,1443,89,10,32300,25,01354,01354
931,859,0,4,36625,25,01355,01355
2981,2821,8,121,37948,25,01360,01360
7729,7456,43,188,27852,25,01364,01364
1188,1143,3,40,33500,25,01366,01366
639,604,5,25,28125,25,01367,01367
1377,1362,0,0,40625,25,01368,01368
3852,3613,52,41,32736,25,01370,01370
4854,4725,0,145,43599,25,01373,01373
3647,3004,63,179,30100,25,01375,01375
5013,4410,117,343,25207,25,01376,01376
792,765,0,16,33942,25,01378,01378
829,741,32,11,26420,25,01379,01379
40702,32703,2018,11712,27975,25,01420,01420
6297,6131,71,108,41824,25,01430,01430
3220,3132,14,80,43480,25,01431,01431
7699,6832,349,458,52031,25,01432,01432
1969,1216,368,276,21058,25,01434,01434
3374,3263,0,198,38661,25,01436,01436
694,691,3,0,50287,25,01438,01438
20610,17922,586,1912,28567,25,01440,01440
11313,10423,27,154,52693,25,01450,01450
