zipcode,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,FIP_disaster_count,average_project,approved_rate
73074,OK,6.0,4.0,1.0,1168.0,73,1168.0,0.16666666666666666
73075,OK,37.0,28.0,17.0,99746.97,79,5867.468823529412,0.4594594594594595
73077,OK,36.0,32.0,20.0,40091.03999999999,76,2004.5519999999997,0.5555555555555556
73078,OK,187.0,158.0,24.0,215060.25,86,8960.84375,0.12834224598930483
73079,OK,25.0,18.0,12.0,81823.33,79,6818.610833333333,0.48
73080,OK,176.0,145.0,64.0,378739.8,113,5917.809375,0.36363636363636365
73082,OK,18.0,16.0,9.0,19502.65,36,2166.961111111111,0.5
73084,OK,325.0,286.0,111.0,429548.51,86,3869.8063963963964,0.3415384615384615
73086,OK,43.0,35.0,17.0,93933.68,44,5525.510588235294,0.3953488372093023
73089,OK,182.0,167.0,58.0,304452.75,76,5249.185344827586,0.31868131868131866
73090,OK,71.0,62.0,19.0,99706.76999999999,39,5247.724736842105,0.2676056338028169
73092,OK,14.0,6.0,2.0,36317.979999999996,79,18158.989999999998,0.14285714285714285
73093,OK,65.0,53.0,25.0,154154.55,41,6166.182,0.38461538461538464
73095,OK,16.0,11.0,3.0,6873.45,41,2291.15,0.1875
73096,OK,63.0,55.0,24.0,132757.78,31,5531.574166666666,0.38095238095238093
73098,OK,30.0,23.0,7.0,16057.02,56,2293.86,0.23333333333333334
73099,OK,536.0,464.0,155.0,696259.42,86,4491.996258064516,0.2891791044776119
73102,OK,231.0,224.0,164.0,1039022.6699999999,120,6335.504085365853,0.70995670995671
73103,OK,61.0,51.0,15.0,63375.33,87,4225.022,0.2459016393442623
73104,OK,233.0,223.0,141.0,858648.83,87,6089.708014184397,0.6051502145922747
73105,OK,133.0,118.0,37.0,119298.25,87,3224.277027027027,0.2781954887218045
73106,OK,132.0,108.0,30.0,73208.5,87,2440.2833333333333,0.22727272727272727
73107,OK,287.0,235.0,68.0,235651.72,157,3465.466470588235,0.23693379790940766
73108,OK,336.0,292.0,126.0,401614.61,87,3187.4175396825394,0.375
73109,OK,621.0,569.0,271.0,1331556.6900000002,126,4913.493321033211,0.4363929146537842
73110,OK,638.0,556.0,284.0,1136326.5699999998,153,4001.149894366197,0.445141065830721
73111,OK,489.0,427.0,115.0,339700.17000000004,86,2953.9145217391306,0.23517382413087934
73112,OK,655.0,608.0,342.0,1989394.4400000002,82,5816.9428070175445,0.5221374045801527
73114,OK,443.0,381.0,112.0,273078.96,161,2438.2050000000004,0.2528216704288939
73115,OK,373.0,317.0,107.0,332766.09,47,3109.9634579439253,0.2868632707774799
73116,OK,66.0,56.0,15.0,50491.37,87,3366.0913333333333,0.22727272727272727
73117,OK,199.0,168.0,50.0,109520.57,47,2190.4114,0.25125628140703515
73118,OK,248.0,211.0,113.0,387400.85000000003,86,3428.3261061946905,0.45564516129032256
73119,OK,892.0,798.0,341.0,1136468.61,87,3332.7525219941353,0.38228699551569506
73120,OK,585.0,534.0,253.0,1512902.2700000003,191,5979.850869565218,0.4324786324786325
73121,OK,99.0,90.0,31.0,97184.38,47,3134.98,0.31313131313131315
73122,OK,157.0,135.0,36.0,99713.45,47,2769.8180555555555,0.22929936305732485
73127,OK,364.0,324.0,118.0,344747.31,86,2921.587372881356,0.3241758241758242
73128,OK,219.0,203.0,65.0,183582.72,126,2824.3495384615385,0.2968036529680365
73129,OK,806.0,716.0,316.0,1728054.6500000001,87,5468.527373417722,0.3920595533498759
73130,OK,262.0,215.0,63.0,189751.42,47,3011.927301587302,0.24045801526717558
73131,OK,50.0,38.0,7.0,22445.16,47,3206.4514285714286,0.14
73132,OK,206.0,165.0,46.0,182139.61000000002,47,3959.5567391304353,0.22330097087378642
73134,OK,92.0,85.0,37.0,229995.50999999998,47,6216.094864864865,0.40217391304347827
73135,OK,923.0,525.0,135.0,376097.54,123,2785.9077037037036,0.14626218851570963
73139,OK,484.0,412.0,173.0,470411.74,87,2719.143005780347,0.3574380165289256
73141,OK,74.0,59.0,25.0,142456.17,47,5698.246800000001,0.33783783783783783
73142,OK,67.0,50.0,9.0,25849.82,86,2872.202222222222,0.13432835820895522
73145,OK,6.0,2.0,1.0,1758.31,47,1758.31,0.16666666666666666
73149,OK,124.0,101.0,32.0,76938.41,87,2404.3253125,0.25806451612903225
