disasterNumber,state,county,city,zipcode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,id,county_type
4222,OK,Mayes,SPAVINAW,74366,2.0,0,1,1,2.0,1.0,1832.76,1,1,1832.76,1,0,0,623ecc48cbab24a500f1a9fc,County)
4222,OK,McClain,BLANCHARD,73010,79.0,54,21,4,61.0,27.0,81068.97,59,24,69045.17,18,7,12023.8,623ecc48cbab24a500f1a9fd,County)
4222,OK,McClain,BYARS,74831,2.0,0,0,2,2.0,0.0,0.0,2,0,0,1,0,0,623ecc48cbab24a500f1aa00,County)
4222,OK,McClain,LINDSAY,73052,6.0,6,0,0,6.0,4.0,20833.350000000002,6,4,20633.36,2,1,199.99,623ecc48cbab24a500f1aa03,County)
4222,OK,McClain,PAOLI,73074,2.0,2,0,0,2.0,1.0,1168.0,2,1,1168,0,0,0,623ecc48cbab24a500f1aa06,County)
4222,OK,McClain,PURCELL,73080,80.0,59,15,6,62.0,23.0,69922.98,58,21,42893.86,18,7,27029.12,623ecc48cbab24a500f1aa07,County)
4222,OK,McClain,STRATFORD,74872,3.0,3,0,0,3.0,2.0,2977.3599999999997,3,2,2977.3599999999997,1,0,0,623ecc48cbab24a500f1aa08,County)
4222,OK,McClain,WASHINGTON,73093,19.0,15,2,2,16.0,9.0,24448.21,15,9,22969.190000000002,3,2,1479.02,623ecc48cbab24a500f1aa09,County)
4222,OK,McClain,WAYNE,73095,10.0,7,2,1,6.0,1.0,2345.24,6,1,2345.24,1,0,0,623ecc48cbab24a500f1aa0a,County)
4222,OK,McCurtain,GARVIN,74736,6.0,4,2,0,6.0,1.0,4635.34,5,1,4635.34,1,0,0,623ecc48cbab24a500f1aa0f,County)
4222,OK,McCurtain,MILLERTON,74750,1.0,1,0,0,1.0,0.0,0.0,1,0,0,1,0,0,623ecc48cbab24a500f1aa12,County)
4222,OK,McCurtain,TOM,74740,1.0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,623ecc48cbab24a500f1aa14,County)
4222,OK,McIntosh,CHECOTAH,74426,49.0,32,16,1,41.0,15.0,31149.88,41,13,28079.280000000002,14,3,3070.6000000000004,623ecc48cbab24a500f1aa17,County)
4222,OK,McIntosh,COUNCIL HILL,74428,2.0,2,0,0,2.0,0.0,0.0,2,0,0,1,0,0,623ecc48cbab24a500f1aa18,County)
4222,OK,McIntosh,HANNA,74845,4.0,4,0,0,1.0,0.0,0.0,1,0,0,1,0,0,623ecc48cbab24a500f1aa1a,County)
4222,OK,McIntosh,WARNER,74469,2.0,2,0,0,2.0,2.0,3922.35,2,2,3922.35,0,0,0,623ecc48cbab24a500f1aa1f,County)
4222,OK,McIntosh,WELEETKA,74880,1.0,1,0,0,1.0,1.0,746.65,1,1,746.65,0,0,0,623ecc48cbab24a500f1aa20,County)
4222,OK,Murray,DOUGHERTY,73032,9.0,8,1,0,6.0,3.0,52724.38,6,3,52724.38,0,0,0,623ecc48cbab24a500f1aa22,County)
4222,OK,Murray,SULPHUR,73086,28.0,19,7,2,22.0,11.0,48508.54,22,11,48229.68,5,1,278.86,623ecc48cbab24a500f1aa25,County)
4222,OK,Okfuskee,PADEN,74860,5.0,5,0,0,5.0,2.0,3198.75,5,2,3198.75,1,0,0,623ecc48cbab24a500f1aa2b,County)
4222,OK,Okfuskee,WETUMKA,74883,1.0,1,0,0,1.0,1.0,2199.85,1,1,2199.85,1,0,0,623ecc48cbab24a500f1aa2d,County)
