GEOID,county,FIP_disaster_count,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,average_project,approved_rate
22103,St.Tammany,46,LA,219345.0,197197.0,129213.0,489701863.96000004,3789.880770201141,0.5890856869315462
22105,Tangipahoa,45,LA,132693.0,121549.0,74712.0,215534017.54,2884.8647812935,0.5630440189007709
22107,Tensas,26,LA,286.0,260.0,112.0,287506.97,2567.0265178571426,0.3916083916083916
22109,Terrebonne,49,LA,114293.0,104895.0,59943.0,241685013.45000002,4031.913875681898,0.5244678151767824
22111,Union,33,LA,2613.0,1690.0,716.0,3299053.1999999997,4607.616201117318,0.2740145426712591
22113,Vermilion,44,LA,34028.0,28341.0,13681.0,61980831.58,4530.431370513851,0.4020512519101916
22115,Vernon,34,LA,25694.0,20435.0,9359.0,23419093.79,2502.3072753499305,0.36424846267611116
22117,Washington,38,LA,41109.0,38101.0,24298.0,65101556.49,2679.2969170302085,0.59106278430514
22119,Webster,34,LA,1264.0,1070.0,435.0,3140025.0300000003,7218.448344827587,0.34414556962025317
22121,WestBatonRouge,36,LA,11730.0,10688.0,4329.0,8126164.93,1877.145975975976,0.3690537084398977
22123,WestCarroll,28,LA,1043.0,933.0,452.0,2065837.6400000001,4570.4372566371685,0.4333652924256951
22125,WestFeliciana,41,LA,3706.0,3312.0,1353.0,3323788.67,2456.606555801922,0.36508364813815436
22127,Winn,29,LA,2667.0,2104.0,821.0,3154628.82,3842.422436053593,0.30783652043494564
